fdc_id,amount,nutrient_name,branded_food_category
1107295,0.0,Cholesterol,Chipsy
1107475,65.0,Cholesterol,Sýry
1108349,0.0,Cholesterol,Cereálie
1109393,100.0,Cholesterol,Sýry
1109400,36.0,Cholesterol,Sušenky
1109434,0.0,Cholesterol,Slané snacky
1109796,0.0,Cholesterol,En. tyčinky
1110747,0.0,Cholesterol,Chipsy
1110839,0.0,Cholesterol,Cukrovinky
1111331,0.0,Cholesterol,Cukrovinky
1111990,107.0,Cholesterol,Sýry
1112148,0.0,Cholesterol,Zmrzlina
1112994,0.0,Cholesterol,Zmrzlina
1114096,9.0,Cholesterol,Sýry
1114461,0.0,Cholesterol,Slané snacky
1114961,0.0,Cholesterol,Slané snacky
1115771,9.0,Cholesterol,Sýry
1116176,29.0,Cholesterol,Nakl. zelenina
1117209,0.0,Cholesterol,Cukrovinky
1117592,0.0,Cholesterol,Sušenky
1117776,0.0,Cholesterol,Další snacky
1118238,71.0,Cholesterol,Sýry
1118768,10.0,Cholesterol,En. tyčinky
1118810,0.0,Cholesterol,En. tyčinky
1119505,67.0,Cholesterol,Zmrzlina
1119673,0.0,Cholesterol,Slané snacky
1119940,0.0,Cholesterol,Pečivo
1122060,25.0,Cholesterol,Zmrzlina
1122523,100.0,Cholesterol,Sýry
1123129,0.0,Cholesterol,Sýry
1123407,0.0,Cholesterol,Slané snacky
1123938,0.0,Cholesterol,Zmrzlina
1124226,0.0,Cholesterol,Čokoláda
1126144,4360.0,Cholesterol,Zmrzlina
1126921,0.0,Cholesterol,En. tyčinky
1126945,0.0,Cholesterol,Pečivo
1127043,0.0,Cholesterol,En. tyčinky
1127082,135.0,Cholesterol,Zmrzlina
1127441,35.0,Cholesterol,Zmrzlina
1127671,0.0,Cholesterol,Cukrovinky
1128810,89.0,Cholesterol,Sýry
1129792,0.0,Cholesterol,Sušenky
1130967,0.0,Cholesterol,Slané snacky
1132160,0.0,Cholesterol,Slané snacky
1133537,0.0,Cholesterol,Chipsy
1133784,8.0,Cholesterol,En. tyčinky
1134406,37.0,Cholesterol,Zmrzlina
1136620,107.0,Cholesterol,Další snacky
1137138,0.0,Cholesterol,Pečivo
1138883,0.0,Cholesterol,Slané snacky
1139103,0.0,Cholesterol,Slané snacky
1139652,0.0,Cholesterol,Slané snacky
356750,100.0,Cholesterol,Sýry
357139,41.0,Cholesterol,Zmrzlina
357197,0.0,Cholesterol,Sušenky
357444,0.0,Cholesterol,Cereálie
357489,32.0,Cholesterol,Sýry
357894,18.0,Cholesterol,Sušenky
358068,0.0,Cholesterol,Cereálie
358757,0.0,Cholesterol,Slané snacky
358954,0.0,Cholesterol,Slané snacky
359593,0.0,Cholesterol,Cukrovinky
360544,0.0,Cholesterol,Zmrzlina
361122,89.0,Cholesterol,Sýry
361663,0.0,Cholesterol,Nakl. zelenina
362264,0.0,Cholesterol,Slané snacky
362424,0.0,Cholesterol,Nakl. zelenina
363075,0.0,Cholesterol,Cukrovinky
364460,0.0,Cholesterol,Slané snacky
367176,0.0,Cholesterol,Slané snacky
367294,0.0,Cholesterol,Nakl. zelenina
367610,0.0,Cholesterol,Čokoláda
367743,0.0,Cholesterol,Další snacky
368540,107.0,Cholesterol,Sýry
369185,118.0,Cholesterol,Sýry
370860,0.0,Cholesterol,Slané snacky
372662,0.0,Cholesterol,Cukrovinky
372798,0.0,Cholesterol,Pečivo
372869,17.0,Cholesterol,Sušenky
373257,0.0,Cholesterol,Nakl. zelenina
373285,119.0,Cholesterol,Sýry
374210,0.0,Cholesterol,Pečivo
374806,54.0,Cholesterol,Pečivo
375425,0.0,Cholesterol,Chipsy
375672,0.0,Cholesterol,Pečivo
376225,0.0,Cholesterol,Sýry
376402,0.0,Cholesterol,Pečivo
376417,38.0,Cholesterol,Zmrzlina
377779,111.0,Cholesterol,Další snacky
378131,0.0,Cholesterol,Cukrovinky
378583,0.0,Cholesterol,Chipsy
378748,0.0,Cholesterol,Cereálie
379055,0.0,Cholesterol,Čokoláda
379057,89.0,Cholesterol,Sýry
379066,30.0,Cholesterol,Zmrzlina
379723,0.0,Cholesterol,Cereálie
379746,0.0,Cholesterol,Další snacky
380120,38.0,Cholesterol,Zmrzlina
380265,71.0,Cholesterol,Sýry
380267,107.0,Cholesterol,Sýry
380471,0.0,Cholesterol,Pečivo
380708,79.0,Cholesterol,Sýry
381237,0.0,Cholesterol,Nakl. zelenina
381315,0.0,Cholesterol,Chipsy
381482,9.0,Cholesterol,Zmrzlina
383937,0.0,Cholesterol,Nakl. zelenina
384085,0.0,Cholesterol,Slané snacky
384775,95.0,Cholesterol,Sýry
387606,0.0,Cholesterol,Cereálie
