date,open,high,low,close,volume,vwap,transactions
2023-10-27,166.91,168.96,166.83,168.22,58499129.0,167.9071,609512
2023-10-30,169.02,171.17,168.87,170.29,51130955.0,170.0774,628253
2023-10-31,169.35,170.9,167.9,170.77,44846017.0,169.9252,509879
2023-11-01,171.0,174.23,170.12,173.97,56934906.0,172.6187,633476
2023-11-02,175.52,177.78,175.46,177.57,77334752.0,176.6797,805048
2023-11-03,174.24,176.82,173.35,176.65,79829246.0,175.5751,858038
2023-11-06,176.38,179.43,176.21,179.23,63841310.0,178.5589,678103
2023-11-07,179.18,182.44,178.97,181.82,70529966.0,181.2627,653779
2023-11-08,182.35,183.45,181.59,182.89,49340282.0,182.6566,542421
2023-11-09,182.96,184.12,181.81,182.41,53763540.0,182.9116,545660
2023-11-10,183.97,186.565,183.53,186.4,66177922.0,185.4104,610938
2023-11-13,185.82,186.03,184.21,184.8,43627519.0,184.8317,530407
2023-11-14,187.7,188.11,186.3,187.44,60108378.0,187.2038,609218
2023-11-15,187.845,189.5,187.78,188.01,53790499.0,188.4206,564160
2023-11-16,189.57,190.96,188.65,189.71,54412915.0,189.7109,620748
2023-11-17,190.25,190.38,188.57,189.69,50941404.0,189.6006,510219
2023-11-20,189.89,191.905,189.88,191.45,46538614.0,191.2984,554014
2023-11-21,191.41,191.52,189.74,190.64,38134485.0,190.51,450749
2023-11-22,191.49,192.93,190.825,191.31,39630011.0,191.7223,463560
2023-11-24,190.87,190.9,189.25,189.97,24048344.0,189.7898,335948
2023-11-27,189.92,190.67,188.9,189.79,40552609.0,189.7965,508896
2023-11-28,189.78,191.08,189.4,190.4,38415419.0,190.165,458154
2023-11-29,190.9,192.09,188.97,189.37,43014224.0,189.9974,493064
2023-11-30,189.84,190.32,188.19,189.95,48794366.0,189.3364,486787
2023-12-01,190.33,191.56,189.23,191.24,45704823.0,190.861,515540
2023-12-04,189.98,190.05,187.4511,189.43,43389519.0,188.916,587461
2023-12-05,190.21,194.4,190.18,193.42,66628398.0,193.1715,700669
2023-12-06,194.45,194.76,192.11,192.32,41089737.0,192.8013,491438
2023-12-07,193.63,195.0,193.59,194.27,47477655.0,194.3971,495052
2023-12-08,194.2,195.99,193.67,195.71,53406358.0,195.1641,538969
2023-12-11,193.11,193.49,191.42,193.18,60943699.0,192.7089,691172
2023-12-12,193.08,194.72,191.721,194.71,52696900.0,193.7834,510768
2023-12-13,195.09,198.0,194.85,197.96,70404183.0,196.9085,672552
2023-12-14,198.02,199.62,196.16,198.11,66831572.0,198.2872,691862
2023-12-15,197.53,198.3999,197.0,197.57,128538401.0,197.5605,625454
2023-12-18,196.09,196.63,194.39,195.89,55751861.0,195.6255,655763
2023-12-19,196.16,196.95,195.89,196.94,40714051.0,196.5277,451709
2023-12-20,196.9,197.68,194.83,194.83,52242815.0,196.142,550599
2023-12-21,196.1,197.08,193.5,194.68,46482549.0,194.7425,554844
2023-12-22,195.18,195.41,192.97,193.6,37149570.0,194.1013,500544
2023-12-26,193.61,193.89,192.83,193.05,28919310.0,193.1713,488257
2023-12-27,192.49,193.5,191.09,193.15,48087681.0,192.5679,548076
2023-12-28,194.14,194.66,193.17,193.58,34049898.0,193.9222,472404
2023-12-29,193.9,194.4,191.725,192.53,42672148.0,192.5761,509123
2024-01-02,187.15,188.44,183.885,185.64,82488674.0,185.9374,1008875
2024-01-03,184.22,185.88,183.43,184.25,58414460.0,184.3226,656853
2024-01-04,182.15,183.0872,180.88,181.91,71983570.0,182.0175,712693
2024-01-05,181.99,182.76,180.17,181.18,62379661.0,181.474,682335
2024-01-08,182.085,185.6,181.5,185.56,59144470.0,184.3702,669173
2024-01-09,183.92,185.15,182.73,185.14,42841809.0,184.3706,538180
2024-01-10,184.35,186.4,183.92,186.19,46792908.0,185.2403,554778
