date,open,high,low,close,volume,vwap,transactions
2023-10-27,47.83,47.83,46.22,46.61,629599.0,46.8557,11772
2023-10-30,47.41,47.55,45.25,45.27,861064.0,45.7084,17766
2023-10-31,45.34,47.05,45.16,46.49,1062164.0,46.5582,14391
2023-11-01,46.66,46.66,44.01,45.87,1146907.0,45.1726,17799
2023-11-02,51.1,51.1,45.73,47.14,1378748.0,47.4797,21239
2023-11-03,48.56,51.76,48.29,51.35,1279229.0,50.807,20268
2023-11-06,51.39,51.625,49.09,49.11,1074660.0,49.6145,17538
2023-11-07,49.6,51.555,49.45,50.38,662592.0,50.556,11812
2023-11-08,50.76,51.48,50.295,50.93,651479.0,50.8605,12313
2023-11-09,51.15,52.32,49.765,50.2,1206072.0,50.9357,12864
2023-11-10,50.07,50.84,49.59,50.38,377085.0,50.4197,8217
2023-11-13,50.31,50.94,49.94,50.5,282874.0,50.5339,5485
2023-11-14,52.0,53.385,51.8932,53.38,744968.0,52.9262,13800
2023-11-15,53.69,54.4294,51.43,52.09,632320.0,52.415,10486
2023-11-16,51.6,51.99,50.46,51.51,628739.0,51.2178,11418
2023-11-17,51.055,52.68,51.055,51.8,447798.0,51.7861,8245
2023-11-20,51.81,53.1699,51.5,52.4,434540.0,52.4752,9079
2023-11-21,51.78,52.42,51.01,51.59,318773.0,51.5242,8613
2023-11-22,52.28,52.8699,51.39,51.94,301703.0,52.2715,8404
2023-11-24,51.5,52.27,51.14,52.15,165743.0,51.8236,4174
2023-11-27,51.98,53.06,51.51,52.47,426803.0,52.506,11214
2023-11-28,52.54,53.84,52.29,52.71,532144.0,52.9352,12421
2023-11-29,53.84,55.05,53.35,54.86,935577.0,54.6046,13283
2023-11-30,54.94,55.32,52.87,54.15,692205.0,53.9315,11449
2023-12-01,54.49,56.11,53.01,56.05,1065548.0,55.4516,15712
2023-12-04,56.0,56.7278,55.2801,56.15,873657.0,56.1775,15755
2023-12-05,55.47,56.685,55.45,56.38,380861.0,56.2479,9832
2023-12-06,56.76,57.6369,55.65,55.66,518616.0,56.2102,11226
2023-12-07,55.64,56.2,54.31,55.94,575482.0,55.5749,11296
2023-12-08,55.75,56.94,55.51,56.75,617741.0,56.6406,9074
2023-12-11,57.05,57.29,56.25,56.93,822774.0,56.8763,12695
2023-12-12,57.24,57.9,56.24,57.07,835602.0,57.1201,14515
2023-12-13,57.21,58.17,56.32,57.39,1022640.0,57.2751,17809
2023-12-14,58.01,59.49,57.02,58.87,1776385.0,58.576,18749
2023-12-15,59.32,60.15,58.37,59.44,3308585.0,59.3965,15059
2023-12-18,59.0,59.2971,58.23,59.05,578853.0,58.9108,11786
2023-12-19,59.29,59.35,58.6,58.75,765243.0,58.9082,14029
2023-12-20,58.36,59.8,57.78,58.19,838459.0,58.7807,14824
2023-12-21,58.89,59.38,57.5,59.0,817281.0,58.5954,14024
2023-12-22,58.95,60.085,57.78,59.58,498167.0,59.4423,10371
2023-12-26,59.53,59.845,58.53,58.53,328797.0,58.941,6936
2023-12-27,58.34,58.92,57.94,58.43,413102.0,58.3875,8860
2023-12-28,58.57,58.57,57.861,58.02,245627.0,58.0969,6738
