,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,loq,footnote,min_year_acquired,name,unit_name
300618,747281,1257,1.04,1.0,1.0,,,,,,,"Fatty acids, total trans",G
1603466,747281,1293,1.04,1.0,1.0,,,,,,,"Fatty acids, total polyunsaturated",G
1603509,748345,1293,57.1,1.0,1.0,,,,,,,"Fatty acids, total polyunsaturated",G
3373987,323093,1092,173.0,1.0,1.0,,,,,,,"Potassium, K",MG
3374648,332126,1092,353.0,1.0,1.0,,,,,,,"Potassium, K",MG
3374771,333389,1092,136.0,1.0,1.0,,,,,,,"Potassium, K",MG
3375269,335616,1092,1480.0,1.0,1.0,,,,,,2016.0,"Potassium, K",MG
3375404,335751,1092,1450.0,1.0,1.0,,,,,,2016.0,"Potassium, K",MG
3375423,335770,1092,1540.0,1.0,1.0,,,,,,2016.0,"Potassium, K",MG
3972628,2347802,1092,94.7,1.0,1.0,,,,,,,"Potassium, K",MG
4088635,2512811,1092,418.0,1.0,1.0,,,,,,,"Potassium, K",MG
6047435,323093,1089,1.46,1.0,1.0,,,,,,,"Iron, Fe",MG
6048108,332126,1089,0.82,1.0,1.0,,,,,,,"Iron, Fe",MG
6048231,333389,1089,0.16,1.0,1.0,,,,,,,"Iron, Fe",MG
6048727,335616,1089,5.18,1.0,1.0,,,,,,2016.0,"Iron, Fe",MG
6048860,335751,1089,5.06,1.0,1.0,,,,,,2016.0,"Iron, Fe",MG
6048879,335770,1089,4.52,1.0,1.0,,,,,,2016.0,"Iron, Fe",MG
7279785,2350284,1089,0.0,1.0,1.0,,,,0.25,,,"Iron, Fe",MG
7279852,2351685,1089,0.0,1.0,1.0,,,,0.245,,,"Iron, Fe",MG
7550694,321647,1162,105.0,1.0,1.0,,,,,,,"Vitamin C, total ascorbic acid",MG
8110903,1756967,1162,25.1,1.0,1.0,,,,,,,"Vitamin C, total ascorbic acid",MG
8735443,747281,1258,18.0,1.0,1.0,,,,,,,"Fatty acids, total saturated",G
8735486,748345,1258,15.0,1.0,1.0,,,,,,,"Fatty acids, total saturated",G
9751305,2347263,1258,20.0,1.0,1.0,,,,,,,"Fatty acids, total saturated",G
10046899,323093,1087,26.0,1.0,1.0,,,,,,,"Calcium, Ca",MG
10047571,332126,1087,33.0,1.0,1.0,,,,,,,"Calcium, Ca",MG
10047694,333389,1087,36.0,1.0,1.0,,,,,,,"Calcium, Ca",MG
10048192,335616,1087,166.0,1.0,1.0,,,,,,2016.0,"Calcium, Ca",MG
10048327,335751,1087,127.0,1.0,1.0,,,,,,2016.0,"Calcium, Ca",MG
10048346,335770,1087,151.0,1.0,1.0,,,,,,2016.0,"Calcium, Ca",MG
11522412,2645028,1087,41.3,1.0,1.0,,,,,,,"Calcium, Ca",MG
11522415,2645055,1087,74.3,1.0,1.0,,,,,,,"Calcium, Ca",MG
11522575,2647809,1087,1640.0,1.0,1.0,,,,,,,"Calcium, Ca",MG
11591726,747281,1292,6.46,1.0,1.0,,,,,,,"Fatty acids, total monounsaturated",G
11591769,748345,1292,22.4,1.0,1.0,,,,,,,"Fatty acids, total monounsaturated",G
11822768,323093,1093,909.0,1.0,1.0,,,,,,,"Sodium, Na",MG
11823420,332126,1093,362.0,1.0,1.0,,,,,,,"Sodium, Na",MG
11823543,333389,1093,617.0,1.0,1.0,,,,,,,"Sodium, Na",MG
16203432,335616,1079,3.9,1.0,1.0,,,,,,2016.0,"Fiber, total dietary",G
16203567,335751,1079,4.0,1.0,1.0,,,,,,2016.0,"Fiber, total dietary",G
16203586,335770,1079,3.8,1.0,1.0,,,,,,2016.0,"Fiber, total dietary",G
20169752,335616,1004,1.11,1.0,1.0,,,,,,2016.0,Total lipid (fat),G
20169887,335751,1004,1.27,1.0,1.0,,,,,,2016.0,Total lipid (fat),G
20169906,335770,1004,1.26,1.0,1.0,,,,,,2016.0,Total lipid (fat),G
20510919,790665,1004,0.38,1.0,1.0,,,,,,,Total lipid (fat),G
21381751,2004789,1004,0.25,1.0,1.0,,,,,,,Total lipid (fat),G
21939219,2645945,1004,1.14,1.0,1.0,,,,,,,Total lipid (fat),G
21991724,335616,1003,22.0,1.0,1.0,,,,,,2016.0,Protein,G
21991859,335751,1003,22.0,1.0,1.0,,,,,,2016.0,Protein,G
21991878,335770,1003,20.8,1.0,1.0,,,,,,2016.0,Protein,G
23870730,327076,1166,0.036,1.0,1.0,,,,,,,Riboflavin,MG
23870910,331757,1166,0.04,1.0,1.0,,,,,,,Riboflavin,MG
23973189,2513979,1166,0.16,1.0,1.0,,,,,,,Riboflavin,MG
24083200,2349431,1165,0.19,1.0,1.0,,,,,,,Thiamin,MG
24180557,327756,1175,0.074,1.0,1.0,,,,,,,Vitamin B-6,MG
24226137,2004374,1175,0.061,1.0,1.0,,,,,,,Vitamin B-6,MG
24226235,2006800,1175,0.079,1.0,1.0,,,,,,,Vitamin B-6,MG
24266425,323093,1091,96.0,1.0,1.0,,,,,,,"Phosphorus, P",MG
24267098,332126,1091,40.0,1.0,1.0,,,,,,,"Phosphorus, P",MG
24267221,333389,1091,541.0,1.0,1.0,,,,,,,"Phosphorus, P",MG
24267719,335616,1091,456.0,1.0,1.0,,,,,,2016.0,"Phosphorus, P",MG
24267854,335751,1091,388.0,1.0,1.0,,,,,,2016.0,"Phosphorus, P",MG
24267873,335770,1091,448.0,1.0,1.0,,,,,,2016.0,"Phosphorus, P",MG
24323344,2352191,1091,31.5,1.0,1.0,,,,,,,"Phosphorus, P",MG
24334104,2646778,1091,212.5,1.0,1.0,,,,,,,"Phosphorus, P",MG
24341762,323093,1101,0.054,1.0,1.0,,,,,,,"Manganese, Mn",MG
24342436,332126,1101,0.188,1.0,1.0,,,,,,,"Manganese, Mn",MG
24342559,333389,1101,0.011,1.0,1.0,,,,,,,"Manganese, Mn",MG
24343057,335616,1101,1.67,1.0,1.0,,,,,,2016.0,"Manganese, Mn",MG
24343192,335751,1101,1.54,1.0,1.0,,,,,,2016.0,"Manganese, Mn",MG
24343211,335770,1101,1.94,1.0,1.0,,,,,,2016.0,"Manganese, Mn",MG
24363034,2349564,1101,2.94,1.0,1.0,,,,,,,"Manganese, Mn",MG
24368096,2644829,1101,1.58,1.0,1.0,,,,,,,"Manganese, Mn",MG
24368198,2646468,1101,0.0,1.0,1.0,,,,0.0125,,,"Manganese, Mn",MG
24376913,323093,1090,15.7,1.0,1.0,,,,,,,"Magnesium, Mg",MG
24377587,332126,1090,25.9,1.0,1.0,,,,,,,"Magnesium, Mg",MG
24377710,333389,1090,22.0,1.0,1.0,,,,,,,"Magnesium, Mg",MG
24378208,335616,1090,163.0,1.0,1.0,,,,,,2016.0,"Magnesium, Mg",MG
24378343,335751,1090,149.0,1.0,1.0,,,,,,2016.0,"Magnesium, Mg",MG
24378362,335770,1090,149.0,1.0,1.0,,,,,,2016.0,"Magnesium, Mg",MG
24424787,2258353,1090,18.7,1.0,1.0,,,,,,,"Magnesium, Mg",MG
24424811,2259010,1090,11.6,1.0,1.0,,,,,,,"Magnesium, Mg",MG
24439876,2516370,1090,244.0,1.0,1.0,,,,,,,"Magnesium, Mg",MG
24453739,323199,1167,2.65,1.0,1.0,,,,,,,Niacin,MG
24453753,323481,1167,0.93,1.0,1.0,,,,,,,Niacin,MG
24516835,1753686,1167,5.06,1.0,1.0,,,,,,,Niacin,MG
25097527,1756548,1177,149.0,1.0,1.0,,,,,,,"Folate, total",UG
25136779,331390,1103,8.7,1.0,1.0,,,,,,,"Selenium, Se",UG
25146041,2004036,1103,3.45,1.0,1.0,,,,,,,"Selenium, Se",UG
25158610,2643776,1103,15.9,1.0,1.0,,,,,,,"Selenium, Se",UG
25165552,322951,1170,0.23,1.0,1.0,,,,,,,Pantothenic acid,MG
25165635,325867,1170,0.61,1.0,1.0,,,,,,,Pantothenic acid,MG
25206897,2648500,1100,73.52,1.0,1.0,,,,,,,"Iodine, I",UG
25215197,323093,1095,2.42,1.0,1.0,,,,,,,"Zinc, Zn",MG
25215869,332126,1095,0.22,1.0,1.0,,,,,,,"Zinc, Zn",MG
25215992,333389,1095,0.24,1.0,1.0,,,,,,,"Zinc, Zn",MG
25216490,335616,1095,3.24,1.0,1.0,,,,,,2016.0,"Zinc, Zn",MG
25216625,335751,1095,2.9,1.0,1.0,,,,,,2016.0,"Zinc, Zn",MG
25216644,335770,1095,3.01,1.0,1.0,,,,,,2016.0,"Zinc, Zn",MG
25241938,1757140,1095,0.366,1.0,1.0,,,,,,,"Zinc, Zn",MG
25266904,2514917,1095,4.73,1.0,1.0,,,,,,,"Zinc, Zn",MG
25370764,323093,1098,0.068,1.0,1.0,,,,,,,"Copper, Cu",MG
25371438,332126,1098,0.077,1.0,1.0,,,,,,,"Copper, Cu",MG
25371561,333389,1098,0.045,1.0,1.0,,,,,,,"Copper, Cu",MG
25372059,335616,1098,1.01,1.0,1.0,,,,,,2016.0,"Copper, Cu",MG
25372194,335751,1098,0.956,1.0,1.0,,,,,,2016.0,"Copper, Cu",MG
25372213,335770,1098,0.872,1.0,1.0,,,,,,2016.0,"Copper, Cu",MG
25387316,2004725,1098,0.0117,1.0,1.0,,,,,,,"Copper, Cu",MG
25390790,2259344,1098,0.0681,1.0,1.0,,,,,,,"Copper, Cu",MG
25397494,2348279,1098,0.041,1.0,1.0,,,,,,,"Copper, Cu",MG
25397578,2350445,1098,0.135,1.0,1.0,,,,,,,"Copper, Cu",MG
25407923,335616,1102,510.0,1.0,1.0,,,,,,2016.0,"Molybdenum, Mo",UG
25408058,335751,1102,422.0,1.0,1.0,,,,,,2016.0,"Molybdenum, Mo",UG
25408077,335770,1102,606.0,1.0,1.0,,,,,,2016.0,"Molybdenum, Mo",UG
25410827,2258285,1102,6.02,1.0,1.0,,,,,,,"Molybdenum, Mo",UG
25410856,2261954,1102,21.8,1.0,1.0,,,,,,,"Molybdenum, Mo",UG
