fdc_id,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
1106109,"Dole Packaged Foods, LLC",,,75700045002,DATES.,,40.0,g,,Wholesome Snacks,LI,,2020-09-18,2020-11-13,United States,,,,
1106320,"Baker Cheese Factory, Inc.",,,76360003005,"PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES.",,28.0,g,,Cheese,LI,,2020-04-15,2020-11-13,United States,,,,
1106377,"Topco Associates, Inc.",,,36800314580,PEANUT OIL.,,14.0,g,,Vegetable & Cooking Oils,LI,,2020-04-08,2020-11-13,United States,,,,
1106493,Pastificio Lucio Garofalo Spa,,,85164000165,DURUM WHEAT SEMOLINA.,,56.0,g,,Pasta by Shape & Type,LI,,2020-04-08,2020-11-13,United States,,,,
1106757,Pinnacle Foods Group LLC,,,698997809968,"WATER, BROWN RICE FLOUR, TAPIOCA STARCH, RESISTENT CORN STARCH, EGG WHITES, CANOLA OIL, FLAXSEED MEAL, CHIA SEEDS, INVERT CANE SUGAR, FLAX SEED, YEAST, CANE SUGAR, INULIN, CITRUS FIBER, SORGHUM GRAIN, APPLE CIDER VINEGAR, MILLET, MOLASSES, SALT, GUM (XANTHAN GUM, SODIUM ALGINATE, GUAR GUM), CULTURED BROWN RICE, BROWN RICE, MODIFIED CELLULOSE, ENZYMES.",,58.0,g,,Breads & Buns,LI,,2020-08-31,2020-11-13,United States,,,,
1106766,"Wellshire Farms, Inc.",,,616973783002,"TURKEY, WATER, SEA SALT, SPICES, PAPRIKA, DRIED GARLIC, STUFFED IN A COLLAGEN CASING.",,56.0,g,,"Sausages, Hotdogs & Brats",LI,,2020-04-07,2020-11-13,United States,,,,
1107688,Mahco Inc,,,877448000257,"WATER, POTATO FLAKES (POTATOES, MONO AND DIGLYCERIDES OF FATTY ACIDS, DIPHOSPHATE, CITRIC ACID, ASCORBYL PALMITATE AND ASCORBIC ACID), WHEAT FLOUR, CORNSTARCH, SEMOLINA, 2% OR LESS OF SALT, NONFAT DRY MILK, CITRIC ACID, SORBIC ACID. ",,162.0,g,,Pasta by Shape & Type,LI,,2020-04-29,2020-11-13,United States,,,,
1108224,Maple Grove Farms Of Vermont Inc.,,,74683008318,"WHEAT GLUTEN, CORNSTARCH, WHOLE WHEAT FLOUR, MILK PROTEIN CONCENTRATE, LEAVENING (SODIUM BICARBONATE, MONOCALCIUM PHOSPHATE), SALT, NATURAL FLAVOR.",,24.0,g,,"Cake, Cookie & Cupcake Mixes",LI,,2020-04-08,2020-11-13,United States,,,,
1108404,"Schnuck Markets, Inc.",,,41318010237,"PINEAPPLE, WATER, SUGAR, CITRIC ACID PRESERVATIVE.",,150.0,g,,Canned Fruit,LI,,2020-04-08,2020-11-13,United States,,,,
1108446,"Greenleaf Foods, SPC",,,638031705719,"FILTERED WATER, COCONUT OIL, MODIFIED CORN AND POTATO STARCH, POTATO STARCH, FERMENTED CHAO TOFU (SOYBEANS, WATER, SALT, SESAME OIL, CALCIUM SULFATE), SEA SALT, BLACK CRACKED PEPPER, OREGANO, NATURAL FLAVOR AND OLIVE EXTRACT (ANTIOXIDANT USED AS A PRESERVATIVE).",,20.0,g,,Cheese,LI,,2020-04-26,2020-11-13,United States,,,,
1108715,"Cornfields, Inc.",,,732494000524,"CARAMEL CORN [BROWN SUGAR, CANE SUGAR, POPCORN, SALTED BUTTER (PASTEURIZED SWEET CREAM, SALT), BROWN RICE SYRUP, SUNFLOWER AND/OR SAFFLOWER OIL, SEA SALT, SOY LECITHIN, BAKING SODA]. CHEESE CORN [POPCORN, SUNFLOWER AND/OR SAFFLOWER OIL, CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), SALT, CREAM, SODIUM PHOSPHATE, ANNATTO (COLOR), LACTIC ACID].",,28.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2020-04-26,2020-11-13,United States,,,,
1108795,Stonyfield Farm Inc,,,88194340027,"CULTURED PASTEURIZED WHOLE MILK, CANE SUGAR, MAPLE SYRUP, PECTIN, NATURAL VANILLA FLAVOR, NATURAL FLAVOR. 5 LIVE ACTIVE CULTURES: S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS AND L. PARACASEI.",,150.0,g,,Yogurt,LI,,2020-04-08,2020-11-13,United States,,,,
