NAME,EU
Indonesia,other countries
Malaysia,other countries
Chile,other countries
Bolivia,other countries
Peru,other countries
Argentina,other countries
Dhekelia,other countries
Cyprus,eurozone
India,other countries
China,other countries
Israel,other countries
Palestine,other countries
Lebanon,other countries
Ethiopia,other countries
S. Sudan,other countries
Somalia,other countries
Kenya,other countries
Malawi,other countries
Tanzania,other countries
Syria,other countries
Somaliland,other countries
France,eurozone
Suriname,other countries
Guyana,other countries
South Korea,other countries
North Korea,other countries
Morocco,other countries
W. Sahara,other countries
Costa Rica,other countries
Nicaragua,other countries
Congo,other countries
Dem. Rep. Congo,other countries
Bhutan,other countries
Ukraine,other countries
Belarus,other countries
Namibia,other countries
South Africa,other countries
St-Martin,other countries
Sint Maarten,other countries
Oman,other countries
Uzbekistan,other countries
Kazakhstan,other countries
Tajikistan,other countries
Lithuania,eurozone
Brazil,other countries
Uruguay,other countries
Mongolia,other countries
Russia,other countries
Czechia,other eu members
Germany,eurozone
Estonia,eurozone
Latvia,eurozone
Norway,other countries
Sweden,other eu members
Finland,eurozone
Vietnam,other countries
Cambodia,other countries
Luxembourg,eurozone
United Arab Emirates,other countries
Belgium,eurozone
Georgia,other countries
North Macedonia,other countries
Albania,other countries
Azerbaijan,other countries
Kosovo,other countries
Turkey,other countries
Spain,eurozone
Laos,other countries
Kyrgyzstan,other countries
Armenia,other countries
Denmark,other eu members
Libya,other countries
Tunisia,other countries
Romania,other eu members
Hungary,other eu members
Slovakia,eurozone
Poland,other eu members
Ireland,eurozone
United Kingdom,other countries
Greece,eurozone
Zambia,other countries
Sierra Leone,other countries
Guinea,other countries
Liberia,other countries
Central African Rep.,other countries
Sudan,other countries
Djibouti,other countries
Eritrea,other countries
Austria,eurozone
Iraq,other countries
Italy,eurozone
Switzerland,other countries
Iran,other countries
Netherlands,eurozone
Liechtenstein,other countries
Côte d'Ivoire,other countries
Serbia,other countries
Mali,other countries
Senegal,other countries
Nigeria,other countries
Benin,other countries
Angola,other countries
Croatia,other eu members
Slovenia,eurozone
Qatar,other countries
Saudi Arabia,other countries
Botswana,other countries
Zimbabwe,other countries
Pakistan,other countries
Bulgaria,other eu members
Thailand,other countries
San Marino,other countries
Haiti,other countries
Dominican Rep.,other countries
Chad,other countries
Kuwait,other countries
El Salvador,other countries
Guatemala,other countries
Timor-Leste,other countries
Brunei,other countries
Monaco,other countries
Algeria,other countries
Mozambique,other countries
eSwatini,other countries
Burundi,other countries
Rwanda,other countries
Myanmar,other countries
Bangladesh,other countries
Andorra,other countries
Afghanistan,other countries
Montenegro,other countries
Bosnia and Herz.,other countries
Uganda,other countries
USNB Guantanamo Bay,other countries
Cuba,other countries
Honduras,other countries
Ecuador,other countries
Colombia,other countries
Paraguay,other countries
Brazilian I.,other countries
Portugal,eurozone
Moldova,other countries
Turkmenistan,other countries
Jordan,other countries
Nepal,other countries
Lesotho,other countries
Cameroon,other countries
Gabon,other countries
Niger,other countries
Burkina Faso,other countries
Togo,other countries
Ghana,other countries
Guinea-Bissau,other countries
Gibraltar,other countries
United States of America,other countries
Canada,other countries
Mexico,other countries
Belize,other countries
Panama,other countries
Venezuela,other countries
Papua New Guinea,other countries
Egypt,other countries
Yemen,other countries
Mauritania,other countries
Eq. Guinea,other countries
Gambia,other countries
Hong Kong,other countries
Vatican,other countries
N. Cyprus,other countries
Cyprus U.N. Buffer Zone,other countries
Siachen Glacier,other countries
Baikonur,other countries
Akrotiri,other countries
Southern Patagonian Ice Field,other countries
Bir Tawil,other countries
Antarctica,other countries
Australia,other countries
Greenland,other countries
Fiji,other countries
New Zealand,other countries
New Caledonia,other countries
Madagascar,other countries
Philippines,other countries
Sri Lanka,other countries
Curaçao,other countries
Aruba,other countries
Bahamas,other countries
Turks and Caicos Is.,other countries
Taiwan,other countries
Japan,other countries
St. Pierre and Miquelon,other countries
Iceland,other countries
Pitcairn Is.,other countries
Fr. Polynesia,other countries
Fr. S. Antarctic Lands,other countries
Seychelles,other countries
Kiribati,other countries
Marshall Is.,other countries
Trinidad and Tobago,other countries
Grenada,other countries
St. Vin. and Gren.,other countries
Barbados,other countries
Saint Lucia,other countries
Dominica,other countries
U.S. Minor Outlying Is.,other countries
Montserrat,other countries
Antigua and Barb.,other countries
St. Kitts and Nevis,other countries
U.S. Virgin Is.,other countries
St-Barthélemy,other countries
Puerto Rico,other countries
Anguilla,other countries
British Virgin Is.,other countries
Jamaica,other countries
Cayman Is.,other countries
Bermuda,other countries
Heard I. and McDonald Is.,other countries
Saint Helena,other countries
Mauritius,other countries
Comoros,other countries
São Tomé and Principe,other countries
Cabo Verde,other countries
Malta,eurozone
Jersey,other countries
Guernsey,other countries
Isle of Man,other countries
Åland,other countries
Faeroe Is.,other countries
Indian Ocean Ter.,other countries
Br. Indian Ocean Ter.,other countries
Singapore,other countries
Norfolk Island,other countries
Cook Is.,other countries
Tonga,other countries
Wallis and Futuna Is.,other countries
Samoa,other countries
Solomon Is.,other countries
Tuvalu,other countries
Maldives,other countries
Nauru,other countries
Micronesia,other countries
S. Geo. and the Is.,other countries
Falkland Is.,other countries
Vanuatu,other countries
Niue,other countries
American Samoa,other countries
Palau,other countries
Guam,other countries
N. Mariana Is.,other countries
Bahrain,other countries
Coral Sea Is.,other countries
Spratly Is.,other countries
Clipperton I.,other countries
Macao,other countries
Ashmore and Cartier Is.,other countries
Bajo Nuevo Bank,other countries
Serranilla Bank,other countries
Scarborough Reef,other countries
