,fdc_id,data_type,description,food_category_id,publication_date,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
2,1107295,branded_food,"ORIGINAL ROUNDS TORTILLA CHIPS, ORIGINAL",,2020-11-13,Hormel Foods Corporation ,,,37600665605,"MASA FLOUR (GROUND WHITE CORN WITH A TRACE OF LIME), VEGETABLE OIL (CONTAINS SUNFLOWER, CORN, AND / OR SOYBEAN OIL WITH TBHQ AND CITRIC ACID (TO HELP PROTECT FLAVOR]), SALT.",,30.0,g,,"Chips, Pretzels & Snacks",LI,,2020-04-08,2020-11-13,United States,,,,
3,1107475,branded_food,"NACHO QUESO SUPREME DIP, NACHO QUESO SUPREME",,2020-11-13,HP Hood LLC,,,73570130330,"CULTURED PASTEURIZED MILK, CREAM AND NONFAT MILK, DEHYDRATED VEGETABLES (TOMATO, ONION, BELL PEPPER, GARLIC), MODIFIED CORN STARCH, GELATIN, SALT, SPICES, CHEDDAR CHEESE (CULTURED MILK, SALT, ENZYMES), NATURAL FLAVOR, DISODIUM PHOSPHATE, SALT, LACTIC ACID), SUGAR*, NATURAL CHEESE FLAVORS, PAPRIKA, HYDROLYZED CORN PROTEIN, MALTODEXTRIN, LACTIC ACID, NATURAL FLAVORS, OLEORESIN PAPRIKA, YEAST EXTRACT, OLEORESIN TURMERIC, POTASSIUM SORBATE (TO PRESERVE FRESHNESS) AND ENZYME.",,31.0,g,,Cheese,LI,,2020-04-08,2020-11-13,United States,,,,
13,1109393,branded_food,"HOMESTYLE PARMESAN-ROMANO GRATED CHEESE, HOMESTYLE PARMESAN-ROMANO",,2020-11-13,4C Foods Corp.,,,41387116274,"GRATED PARMESAN CHEESE [PASTEURIZED PART SKIM MILK, CHEESE CULTURE, SALT, ENZYMES (RENNET)] AND GRATED IMPORTED ITALIAN PECORINO ROMANO CHEESE [PASTEURIZED SHEEP'S MILK, CHEESE CULTURE, SALT, ENZYMES (RENNET)].",,5.0,g,,Cheese,LI,,2020-04-08,2020-11-13,United States,,,,
14,1109400,branded_food,"WHITE CHUNK MACADAMIA SOFT BAKED COOKIES, WHITE CHUNK MACADAMIA",,2020-11-13,Mrs. Fields Famous Brands LLC,,,886002506531,"BLEACHED WHEAT FLOUR, SUGAR, WHITE CHOCOLATE (SUGAR, HYDROGENATED PALM KERNEL OIL, NONFAT MILK POWDER, SOY LECITHIN (AN EMULSIFIER), SALT AND NATURAL FLAVOR), FRUCTOSE, BUTTER, PALM OIL MARGARINE (PALM OIL, WATER, SOYBEAN OIL, SALT, CONTAINS LESS THAN 2% OF VEGETABLE MONO & DIGLYCERIDES, SOY LECITHIN, SODIUM BENZOATE (A PRESERVATIVE), CITRIC ACID, NATURAL & ARTIFICIAL FLAVOR, BETA CAROTENE (COLOR), VITAMIN A PALMITATE ADDED, WHEY), MACADAMIA NUTS, CANOLA OIL, MOLASSES, EGGS, BAKING SODA, MONOGLYCERIDES (WITH 2% OR LESS OF CITRIC ACID (ANTIOXIDANT)), DATEM, POTATO STARCH, SALT, NATURAL AND ARTIFICIAL VANILLA FLAVOR, XANTHAN GUM, CARAMEL FLAVOR",,28.0,g,,Cookies & Biscuits,LI,,2020-09-21,2020-11-13,United States,,,,
15,1109434,branded_food,"DRY ROASTED PEANUTS, DRY ROASTED",,2020-11-13,"Safeway, Inc.",,,21130293025,"PEANUTS, SEASONING (SEA SALT, SUGAR, CORN STARCH, TORULA YEAST, GELATIN, CORN SYRUP SOLIDS, SPICES, ONION POWDER, GARLIC POWDER, NATURAL FLAVORS, PAPRIKA), MALTODEXTRIN.",,28.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2020-04-08,2020-11-13,United States,,,,
18,1109796,branded_food,"BAR, CHOCOLATE COCONUT CASHEW",,2020-11-13,The Daily Record,,,838766080338,"COMPLETE PROTEIN BLEND (ORGANIC SPROUTED WHOLE GRAIN BROWN RICE PROTEIN, PEA PROTEIN), ORGANIC BROWN RICE SYRUP, ORGANIC CANE SUGAR, ORGANIC TAPIOCA SYRUP, PALM KERNEL OIL, BROWN RICE CRISPS (WHOLE GRAIN BROWN RICE FLOUR, CALCIUM CARBONATE), ORGANIC DATES, ORGANIC CASHEWS, COCOA POWDER (PROCESSED WITH ALKALI), ORGANIC AGAVE SYRUP, VEGA BLEND (VITAMINS & MINERALS: POTASSIUM PHOSPHATE, CALCIUM PHOSPHATE, MAGNESIUM OXIDE, FERRIC PYROPHOSPHATE, CALCIUM ASCORBATE, ZINC CITRATE, POTASSIUM IODIDE, MOLYBDENUM CITRATE, VITAMIN A PALMINATE, NIACIN, VITAMIN E, COPPER CITRATE, SELENIUM CITRATE, MANGANESE CITRATE, BIOTIN, CALCIUM PANTOTHENATE, THIAMINE HCL, RIBOFLAVIN, VITAMIN B6, VITAMIN B12, CHROMIUM CITRATE, VITAMIN D2, FOLATE, GREENS: ALFALFA GRASS, SPINACH, BROCCOLI, KALE, BERRIES: EXTRACTS OF GRAPE SEED, MAQUI BERRY, GOJI JUICE, ACAI BERRY, POMEGRANATE SEED, MANGOSTEEN, PROBIOTICS: L.ACIDOPHILUS LA-14, B.BIFIDUM BB-06), DRIED COCONUT, VEGA SAVISEED (SACHA INCHI) OIL, UNSWEETENED CHOCOLATE, BUCKWHEAT, INULIN (FROM CHICORY ROOT). CONTAINS 2 PERCENT OR LESS OF: CHIA SEEDS, HEMP SEEDS, ORGANIC VANILLA EXTRACT, NATURAL COCONUT FLAVOR, NATURAL VANILLA FLAVOR, SEA SALT, SUNFLOWER LECITHIN. +KALE, BROCCOLI, ALFALFA, SPINACH.",,64.0,g,,"Snack, Energy & Granola Bars",LI,,2020-09-19,2020-11-13,United States,,,,
25,1110747,branded_food,"SEA SALT VEGETABLE AND POTATO SNACK, SEA SALT",,2020-11-13,"The Hain Celestial Group, Inc.",,,829515300579,"POTATO STARCH, POTATO FLOUR, EXPELLER PRESSED CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL, SPINACH POWDER, TOMATO PASTE, SALT, CANE SUGAR, CORN STARCH, POTASSIUM CHLORIDE, TURMERIC (COLOR), BEETROOT POWDER (COLOR), SEA SALT.",,28.0,g,,"Chips, Pretzels & Snacks",LI,,2020-09-25,2020-11-13,United States,,,,
26,1110839,branded_food,HOLIDAY TREES CANDY,,2020-11-13,Sweet Candy Company,,,71443015036,"CORN SYRUP, SUGAR, CORN STARCH-MODIFIED, MALIC ACID, NATURAL AND ARTIFICIAL FLAVORS, TITANIUM DIOXIDE, RED #40, YELLOW #5, BLUE #1.",,44.0,g,,Candy,LI,,2020-04-26,2020-11-13,United States,,,,
28,1111331,branded_food,JELLY BELLY CANDY CANE,,2020-11-13,Spangler Candy Company,,,30800675009,"CHERRY - SUGAR, CORN SYRUP, CITRIC ACID, ARTIFICIAL FLAVOR, COLOR (RED 40, YELLOW 5) WATERMELON - SUGAR, CORN SYRUP, MALIC ACID, ARTIFICIAL FLAVOR, COLOR (RED 40, YELLOW 5, BLUE 1) COTTON CANDY - SUGAR, CORN SYRUP, MALIC ACID, ARTIFICIAL FLAVOR, COLOR (RED 40, BLUE 1) BLUEBERRY - SUGAR, CORN SYRUP, CITRIC ACID, ARTIFICIAL FLAVOR, COLOR (BLUE 1, RED 40) ISLAND PUNCH - SUGAR, CORN SYRUP, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVOR, COLOR (RED 40, BLUE 1) PINA COLADA - SUGAR, CORN SYRUP, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVOR, COLOR (YELLOW 5, YELLOW 6, RED 40).",,14.0,g,,Candy,LI,,2020-04-13,2020-11-13,United States,,,,
33,1111990,branded_food,"HAVARTI CRACKER CUTS CHEESE SLICES, HAVARTI",,2020-11-13,"Tops Markets, LLC",,,70784017020,"PASTEURIZED MILK, SALT, CHEESE CULTURE, ENZYMES.",,28.0,g,,Cheese,LI,,2020-09-02,2020-11-13,United States,,,,
